date,action,ticker,security,reason
2012-06-29,remove,SLE,Sara Lee Corporation,Split up of Sara Lee[217]
2012-07-02,add,STX,Seagate Technology,Acquired by Duke Energy (DUK)[216]
2012-07-02,remove,PGN,Progress Energy,Acquired by Duke Energy (DUK)[216]
2012-07-31,add,ESV,Ensco,Goodrich acquired by United Technologies (UTX).[215]
2012-07-31,remove,GR,Goodrich Corporation,Goodrich acquired by United Technologies (UTX).[215]
2012-09-05,add,LYB,LyondellBasell,SHLD below public float threshold
2012-09-05,remove,SHLD,Sears Holdings,SHLD below public float threshold
2012-10-01,add,ADT,ADT,Tyco spun off ADT
2012-10-01,add,PNR,Pentair,Tyco spin-off merged w/Pentair
2012-10-01,remove,DV,DeVry,Tyco spin-off merged w/Pentair
2012-10-01,remove,LXK,Lexmark,Tyco spun off ADT
2012-10-02,add,KRFT,Kraft Foods,Kraft split into two companies[213]
2012-10-02,add,MDLZ,Mondelez,Old Kraft Foods renamed Mondelez[214]
2012-10-02,remove,ANR,Alpha Natural Resources,Kraft split into two companies[213]
2012-10-02,remove,KFT,Kraft Foods,Old Kraft Foods renamed Mondelez[214]
2012-10-10,add,PETM,PetSmart,Acquired by Energy Transfer Partners (ETP)[212]
2012-10-10,remove,SUN,Sunoco,Acquired by Energy Transfer Partners (ETP)[212]
2012-12-03,add,DG,Dollar General,Acquired by Eaton Corp. (ETN)[211]
2012-12-03,remove,CBE,Cooper Industries,Acquired by Eaton Corp. (ETN)[211]
2012-12-11,add,GRMN,Garmin,Market capitalization changes[210]
2012-12-11,remove,RRD,RR Donnelley,Market capitalization changes[210]
2012-12-21,add,DLPH,Delphi Automotive,TIE acquired by Precision Cast Parts (PCP)[209]
2012-12-21,remove,TIE,Titanium Metals,TIE acquired by Precision Cast Parts (PCP)[209]
2013-01-02,add,ABBV,AbbVie,ABBV spun off from Abbott Labs (ABT)[208]
2013-01-02,remove,FII,Federated Investors,ABBV spun off from Abbott Labs (ABT)[208]
2013-02-15,add,PVH,PVH,Market capitalization changes[207]
2013-02-15,remove,BIG,Big Lots,Market capitalization changes[207]
2013-04-30,add,REGN,Regeneron Pharmaceuticals,A majority of MetroPCS was acquired by T-Mobile[206]
2013-04-30,remove,PCS,MetroPCS,A majority of MetroPCS was acquired by T-Mobile[206]
2013-05-08,add,MAC,Macerich,Acquired by Aetna (AET)[205]
2013-05-08,remove,CVH,Coventry Health Care,Acquired by Aetna (AET)[205]
2013-05-23,add,KSU,Kansas City Southern,DF too small after spinoff of White Wave Foods[204]
2013-05-23,remove,DF,Dean Foods,DF too small after spinoff of White Wave Foods[204]
2013-06-06,add,GM,General Motors,HNZ acquired by consortium[203]
2013-06-06,remove,HNZ,Heinz,HNZ acquired by consortium[203]
2013-06-21,add,ZTS,Zoetis,Zoetis spun off by Pfizer[202]
2013-06-21,remove,FHN,First Horizon,Zoetis spun off by Pfizer[202]
2013-07-01,add,NWSA,21st Century Fox,Apollo Group's market cap more representative of a mid-cap[201]
2013-07-01,remove,APOL,Apollo Education Group,Apollo Group's market cap more representative of a mid-cap[201]
2013-07-08,add,NLSN,Nielsen Holdings,Softbank consortium purchase results in public float below 50%[200]
2013-07-08,remove,S,Sprint Nextel,Softbank consortium purchase results in public float below 50%[200]
2013-09-10,add,DAL,Delta Air Lines,BMC taken private by consortium[199]
2013-09-10,remove,BMC,BMC Software,BMC taken private by consortium[199]
2013-09-20,add,AME,Ametek,Market capitalization change.[198]
2013-09-20,add,VRTX,Vertex Pharmaceuticals,Market capitalization change.[198]
2013-09-20,remove,AMD,Advanced Micro Devices,Market capitalization change.[198]
2013-09-20,remove,SAI,SAIC,Market capitalization change.[198]
2013-10-29,add,RIG,Transocean,Founder Michael Dell and Silver Lake Partners acquired Dell.[197]
2013-10-29,remove,DELL,Dell,Founder Michael Dell and Silver Lake Partners acquired Dell.[197]
2013-11-13,add,KORS,Michael Kors,ICE Exchange acquired NYSE Euronext.[196]
2013-11-13,remove,NYX,NYSE Euronext,ICE Exchange acquired NYSE Euronext.[196]
2013-12-02,add,ALLE,Allegion,Allegion spun off by Ingersoll Rand.[195]
2013-12-02,remove,JCP,JCPenney,Allegion spun off by Ingersoll Rand.[195]
2013-12-10,add,GGP,General Growth Properties,MOLX acquired by Koch Industries.[194]
2013-12-10,remove,MOLX,Molex,MOLX acquired by Koch Industries.[194]
2013-12-23,add,ADS,Alliance Data Systems,Market capitalization changes.[193]
2013-12-23,add,FB,Facebook,Market capitalization changes.[193]
2013-12-23,add,MHK,Mohawk Industries,Market capitalization changes.[193]
2013-12-23,remove,ANF,Abercrombie & Fitch,Market capitalization changes.[193]
2013-12-23,remove,JDSU,JDS Uniphase,Market capitalization changes.[193]
2013-12-23,remove,TER,Teradyne,Market capitalization changes.[193]
2014-01-24,add,TSCO,Tractor Supply,Life Technologies acquired by Thermo Fisher Scientific Inc[192]
2014-01-24,remove,LIFE,Life Technologies,Life Technologies acquired by Thermo Fisher Scientific Inc[192]
2014-03-21,add,GMCR,Keurig Green Mountain,Market capitalization changes[191]
